,batch_size,learning_rate,number_of_layers,incrementing_factor,resultat,temps
78,5,0.0001,2,2,91.7,17s
70,5,0.0001,2,3,93.0,21s
62,5,0.0001,2,5,93.7,37s
71,5,0.0001,3,2,92.80000000000001,24s
67,5,0.0001,3,3,93.30000000000001,46s
59,5,0.0001,3,5,94.39999999999999,3m25s
80,5,0.0001,4,2,90.7,39s
73,5,0.0001,4,3,92.7,2m24s
54,5,0.0001,4,5,95.19999999999999,26m10s
74,20,0.0001,2,2,92.10000000000001,6s
68,20,0.0001,2,3,93.10000000000001,7s
60,20,0.0001,2,5,94.1,12s
72,20,0.0001,3,2,92.7,7s
64,20,0.0001,3,3,93.30000000000001,13s
57,20,0.0001,3,5,94.5,45s
79,20,0.0001,4,2,91.4,10s
65,20,0.0001,4,3,93.30000000000001,38s
55,20,0.0001,4,5,95.0,5m1s
75,50,0.0001,2,2,92.0,3s
63,50,0.0001,2,3,93.4,4s
61,50,0.0001,2,5,93.8,6s
76,50,0.0001,3,2,92.0,4s
66,50,0.0001,3,3,93.30000000000001,7s
58,50,0.0001,3,5,94.39999999999999,21s
77,50,0.0001,4,2,91.9,6s
69,50,0.0001,4,3,93.10000000000001,18s
56,50,0.0001,4,5,94.89999999999999,2m15s
52,5,0.001,2,2,95.7,18s
40,5,0.001,2,3,97.5,22s
31,5,0.001,2,5,97.8,36s
41,5,0.001,3,2,97.39999999999999,25s
26,5,0.001,3,3,97.89999999999999,45s
6,5,0.001,3,5,98.3,3m22s
39,5,0.001,4,2,97.5,42s
21,5,0.001,4,3,98.0,2m26s
4,5,0.001,4,5,98.4,26m8s
51,20,0.001,2,2,95.89999999999999,6s
44,20,0.001,2,3,97.2,7s
17,20,0.001,2,5,98.1,11s
46,20,0.001,3,2,97.1,7s
27,20,0.001,3,3,97.89999999999999,13s
13,20,0.001,3,5,98.3,46s
35,20,0.001,4,2,97.7,12s
8,20,0.001,4,3,98.3,40s
5,20,0.001,4,5,98.4,5m1s
49,50,0.001,2,2,96.5,3s
45,50,0.001,2,3,97.2,4s
30,50,0.001,2,5,97.8,6s
43,50,0.001,3,2,97.2,4s
29,50,0.001,3,3,97.8,7s
11,50,0.001,3,5,98.3,23s
28,50,0.001,4,2,97.8,6s
15,50,0.001,4,3,98.2,18s
12,50,0.001,4,5,98.3,2m15s
50,5,0.01,2,2,96.39999999999999,19s
33,5,0.01,2,3,97.7,22s
22,5,0.01,2,5,98.0,36s
38,5,0.01,3,2,97.6,24s
18,5,0.01,3,3,98.1,47s
1,5,0.01,3,5,98.6,3m14s
34,5,0.01,4,2,97.7,42s
20,5,0.01,4,3,98.0,2m21s
3,5,0.01,4,5,98.4,26m17s
48,20,0.01,2,2,96.6,6s
36,20,0.01,2,3,97.6,7s
16,20,0.01,2,5,98.2,11s
37,20,0.01,3,2,97.6,7s
23,20,0.01,3,3,98.0,13s
2,20,0.01,3,5,98.5,48s
24,20,0.01,4,2,98.0,11s
19,20,0.01,4,3,98.0,40s
7,20,0.01,4,5,98.3,5m2s
53,50,0.01,2,2,95.3,3s
47,50,0.01,2,3,96.7,4s
14,50,0.01,2,5,98.2,6s
42,50,0.01,3,2,97.3,4s
25,50,0.01,3,3,97.89999999999999,7s
0,50,0.01,3,5,98.6,24s
32,50,0.01,4,2,97.7,7s
10,50,0.01,4,3,98.3,18s
9,50,0.01,4,5,98.3,2m16s
